published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2017-06-18,187.00,184.00,178.00,178.00,0.00,1000.00,181300.00,0
2017-06-20,178.00,175.00,175.00,175.00,0.00,100.00,17500.00,0
2017-06-21,175.00,172.00,172.00,172.00,0.00,85.00,14620.00,0
2017-06-25,172.00,169.00,155.00,155.00,0.00,11897.00,1913763.00,0
2017-06-27,155.00,155.00,140.00,140.00,0.00,9258.00,1313762.00,0
2017-06-28,140.00,154.00,140.00,154.00,0.00,907.00,131364.00,0
2017-07-02,154.00,151.00,148.00,148.00,0.00,250.00,37450.00,0
2017-07-03,148.00,146.00,144.00,144.00,0.00,400.00,58200.00,0
2017-07-04,144.00,145.00,141.00,141.00,0.00,3958.00,566104.00,0
2017-07-05,141.00,139.00,135.00,135.00,0.00,1265.00,174335.00,0
2017-07-06,135.00,133.00,128.00,128.00,0.00,6164.00,794492.00,0
2017-07-09,128.00,132.00,124.00,132.00,0.00,18330.00,2294500.00,0
2017-07-10,132.00,145.00,134.00,143.00,0.00,6860.00,967110.00,0
2017-07-11,143.00,148.00,144.00,146.00,0.00,650.00,94600.00,0
2017-07-12,146.00,148.00,135.00,148.00,0.00,2447.00,347953.00,0
2017-07-13,148.00,146.00,143.00,143.00,0.00,3166.00,458918.00,0
2017-07-16,143.00,145.00,141.00,141.00,0.00,317.00,45331.00,0
2017-07-17,141.00,147.00,143.00,147.00,0.00,600.00,87000.00,0
2017-07-18,147.00,147.00,140.00,141.00,0.00,2039.00,291260.00,0
2017-07-19,141.00,139.00,139.00,139.00,0.00,300.00,41700.00,0
2017-07-20,139.00,144.00,137.00,144.00,0.00,2550.00,355700.00,0
2017-07-23,144.00,148.00,140.00,140.00,0.00,1420.00,202340.00,0
2017-07-24,140.00,140.00,136.00,136.00,0.00,2378.00,325908.00,0
2017-07-25,136.00,140.00,138.00,140.00,0.00,2372.00,330480.00,0
2017-07-26,140.00,144.00,140.00,142.00,0.00,4180.00,593460.00,0
2017-07-27,142.00,144.00,140.00,140.00,0.00,9514.00,1345948.00,0
2017-07-30,140.00,142.00,142.00,142.00,0.00,100.00,14200.00,0
2017-07-31,142.00,146.00,144.00,146.00,0.00,500.00,72580.00,0
2017-08-01,146.00,144.00,138.00,138.00,0.00,3319.00,467736.00,0
