published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2026-03-12,101.7,111.8,101.7,111.8,9.93,150.0,16468.0,1
2026-03-15,110.7,122.9,110.7,122.9,9.93,140.0,16688.0,1
2026-03-16,121.7,135.1,121.7,135.1,9.93,150.0,19828.0,1
2026-03-17,137.8,148.6,137.8,148.6,9.99,90.0,13107.0,1
2026-03-19,147.0,163.4,147.0,163.4,9.96,190.0,30506.0,1
2026-03-22,166.5,179.7,166.5,179.7,9.98,300.0,53185.0,1
2026-03-23,176.4,197.6,176.4,197.6,9.96,250.0,48663.0,1
2026-03-24,195.7,217.3,195.7,217.3,9.97,200.0,42759.0,1
2026-03-25,215.0,239.0,215.0,239.0,9.99,270.0,63505.0,1
2026-03-26,237.3,262.9,237.3,262.9,10.0,208.0,53562.2,1
2026-03-29,264.6,289.1,264.6,289.1,9.97,410.0,117349.0,1
2026-03-30,289.1,318.0,289.1,318.0,10.0,470.0,147731.0,1
2026-03-31,316.0,349.8,316.0,349.8,10.0,370.0,128366.0,1
2026-04-01,356.0,384.7,356.0,384.7,9.98,450.0,172111.0,1
2026-04-02,381.7,423.1,381.7,423.1,9.98,590.0,247484.0,1
2026-04-05,423.1,465.4,423.1,465.4,10.0,960.0,444682.0,1
2026-04-06,474.7,511.9,474.7,511.9,9.99,1310.0,668929.0,1
2026-04-07,513.7,563.0,513.7,563.0,9.98,1090.0,611752.0,1
2026-04-08,574.2,619.3,574.2,619.3,10.0,1220.0,754437.0,1
2026-04-09,610.7,681.2,610.7,681.2,10.0,2390.0,1625715.0,1
2026-04-10,694.8,749.3,694.8,749.3,10.0,2140.0,1602162.0,1
2026-04-13,764.2,824.2,764.2,824.2,10.0,4160.0,3424796.0,1
2026-04-15,840.6,906.6,840.6,906.6,10.0,3760.0,3405876.0,1
2026-04-16,924.7,997.2,924.7,997.2,9.99,5250.0,5233520.0,1
2026-04-17,1017.1,1096.9,1017.1,1096.9,10.0,11840.0,12982146.0,1
2026-04-20,1151.7,1261.4,1151.7,1261.4,15.0,292797.0,360159585.9,1
2026-04-21,1323.0,1450.6,1286.0,1386.0,9.88,159134.0,222342401.2,1
2026-04-22,1400.0,1404.0,1208.1,1237.0,-10.75,228942.0,285967762.7,-1
2026-04-23,1237.0,1237.0,1142.0,1180.0,-4.61,188547.0,221559006.3,-1
2026-04-24,1180.0,1225.0,1111.0,1195.0,1.27,111477.0,128612529.4,1
2026-04-27,1195.0,1225.0,1148.0,1148.0,-3.93,105359.0,124011852.6,-1
2026-04-28,1191.0,1191.0,1038.0,1060.0,-7.67,189770.0,206007502.0,-1
2026-04-29,1060.0,1065.2,995.1,1005.0,-5.19,119051.0,120424348.7,-1
2026-04-30,975.1,1045.0,956.6,1024.0,1.89,94735.0,94168284.9,1
2026-05-04,994.0,1020.0,980.0,1000.0,-2.34,51713.0,51137885.8,-1
2026-05-05,1000.0,1019.0,972.0,994.0,-0.6,58778.0,58737483.4,-1
2026-05-06,1000.0,1020.0,982.0,988.0,-0.6,51679.0,51786312.1,-1
2026-05-07,988.0,1004.0,986.0,994.4,0.65,37729.0,37431526.6,1
2026-05-08,1000.0,1076.0,995.3,1073.0,7.9,132782.0,138694649.2,1
2026-05-11,1020.0,1107.0,1020.0,1065.0,-0.75,90355.0,96501737.1,-1
