published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2017-06-13,386.00,395.00,380.00,391.00,0.00,5391.00,2087554.00,0
2017-06-14,391.00,390.00,385.00,388.00,0.00,7302.00,2824040.00,0
2017-06-15,388.00,396.00,382.00,382.00,0.00,8263.00,3189949.00,0
2017-06-18,382.00,385.00,375.00,378.00,0.00,4470.00,1690235.00,0
2017-06-19,378.00,380.00,362.00,363.00,0.00,4189.00,1531826.00,0
2017-06-20,363.00,374.00,356.00,374.00,0.00,2483.00,899016.00,0
2017-06-21,374.00,374.00,363.00,369.00,0.00,1679.00,617975.00,0
2017-06-22,369.00,372.00,365.00,367.00,0.00,1763.00,649207.00,0
2017-06-25,367.00,375.00,360.00,369.00,0.00,2346.00,861490.00,0
2017-06-27,369.00,367.00,360.00,360.00,0.00,3500.00,1269888.00,0
2017-06-28,360.00,365.00,358.00,359.00,0.00,2711.00,975043.00,0
2017-07-02,359.00,353.00,345.00,346.00,0.00,2447.00,849671.00,0
2017-07-03,346.00,353.00,345.00,345.00,0.00,4070.00,1421688.00,0
2017-07-04,345.00,350.00,341.00,341.00,0.00,1804.00,618904.00,0
2017-07-05,341.00,344.00,336.00,340.00,0.00,3798.00,1285437.00,0
2017-07-06,340.00,352.00,341.00,342.00,0.00,2097.00,724732.00,0
2017-07-09,342.00,344.00,336.00,337.00,0.00,3039.00,1032826.00,0
2017-07-10,337.00,338.00,331.00,331.00,0.00,5720.00,1914778.00,0
2017-07-11,331.00,344.00,330.00,339.00,0.00,5026.00,1682074.00,0
2017-07-12,339.00,354.00,334.00,352.00,0.00,4177.00,1442171.00,0
2017-07-13,352.00,347.00,341.00,341.00,0.00,3008.00,1031846.00,0
2017-07-16,341.00,341.00,335.00,336.00,0.00,1372.00,462056.00,0
2017-07-17,336.00,345.00,333.00,340.00,0.00,1888.00,641270.00,0
2017-07-18,340.00,348.00,337.00,345.00,0.00,1647.00,563319.00,0
2017-07-19,345.00,363.00,340.00,344.00,0.00,2661.00,919975.00,0
2017-07-20,344.00,344.00,333.00,340.00,0.00,5354.00,1809377.00,0
2017-07-23,340.00,340.00,334.00,336.00,0.00,2588.00,866698.00,0
2017-07-24,336.00,340.00,334.00,337.00,0.00,1995.00,672194.00,0
2017-07-25,337.00,340.00,335.00,337.00,0.00,1489.00,503971.00,0
2017-07-26,337.00,345.00,340.00,345.00,0.00,6312.00,2159088.00,0
2017-07-27,345.00,350.00,330.00,344.00,0.00,2004.00,679539.00,0
2017-07-30,344.00,344.00,335.00,337.00,0.00,2321.00,786398.00,0
2017-07-31,337.00,340.00,332.00,338.00,0.00,5884.00,1980523.00,0
2017-08-01,338.00,360.00,339.00,360.00,0.00,5146.00,1789939.00,0
2017-08-02,360.00,353.00,335.00,341.00,0.00,3739.00,1287539.00,0
2017-08-03,341.00,349.00,337.00,349.00,0.00,1889.00,648294.00,0
2017-08-06,349.00,346.00,339.00,341.00,0.00,1633.00,558332.00,0
2017-08-07,341.00,341.00,333.00,334.00,0.00,7671.00,2578978.00,0
2017-08-09,334.00,334.00,329.00,333.00,0.00,5343.00,1769598.00,0
2017-08-10,333.00,333.00,328.00,331.00,0.00,2688.00,887406.00,0
2017-08-13,331.00,331.00,322.00,325.00,0.00,3814.00,1248738.00,0
2017-08-15,325.00,324.00,307.00,312.00,0.00,4539.00,1425738.00,0
2017-08-16,312.00,322.00,303.00,309.00,0.00,3854.00,1196876.00,0
2017-08-17,309.00,307.00,300.00,307.00,0.00,1299.00,395102.00,0
2017-08-20,307.00,302.00,296.00,300.00,0.00,1556.00,467270.00,0
2017-08-21,300.00,305.00,290.00,294.00,0.00,842.00,249803.00,0
2017-08-22,294.00,296.00,282.00,291.00,0.00,4023.00,1169111.00,0
2017-08-23,291.00,296.00,282.00,288.00,0.00,1338.00,385746.00,0
2017-08-24,288.00,294.00,284.00,290.00,0.00,1141.00,326884.00,0
2017-08-27,290.00,300.00,275.00,300.00,0.00,6252.00,1759922.00,0
2017-08-28,300.00,310.00,286.00,304.00,0.00,2635.00,772232.00,0
2017-08-30,304.00,298.00,290.00,290.00,0.00,689.00,202536.00,0
2017-08-31,290.00,290.00,282.00,282.00,0.00,1122.00,320077.00,0
2017-09-04,282.00,278.00,265.00,278.00,0.00,2279.00,616621.00,0
2017-09-06,278.00,279.00,273.00,274.00,0.00,2243.00,617761.00,0
2017-09-07,274.00,274.00,254.00,260.00,0.00,5305.00,1401361.00,0
2017-09-10,260.00,256.00,246.00,251.00,0.00,1852.00,463641.00,0
2017-09-11,251.00,250.00,243.00,246.00,0.00,549.00,135893.00,0
2017-09-12,246.00,245.00,241.00,244.00,0.00,1127.00,273477.00,0
2017-09-13,244.00,248.00,243.00,248.00,0.00,1139.00,278845.00,0
2017-09-14,248.00,257.00,247.00,257.00,0.00,1826.00,460312.00,0
2017-09-17,257.00,266.00,253.00,266.00,0.00,1937.00,500310.00,0
2017-09-18,266.00,271.00,261.00,263.00,0.00,1112.00,293283.00,0
2017-09-20,263.00,261.00,258.00,260.00,0.00,449.00,116700.00,0
2017-09-24,260.00,262.00,256.00,256.00,0.00,295.00,76772.00,0
2017-09-25,256.00,261.00,255.00,261.00,0.00,1115.00,285545.00,0
2017-09-26,261.00,270.00,262.00,270.00,0.00,398.00,105506.00,0
2017-10-03,270.00,270.00,265.00,265.00,0.00,206.00,55132.00,0
2017-10-04,265.00,260.00,255.00,255.00,0.00,69.00,17800.00,0
2017-10-08,255.00,256.00,250.00,250.00,0.00,853.00,213842.00,0
2017-10-09,250.00,255.00,247.00,250.00,0.00,274.00,68430.00,0
2017-10-10,250.00,253.00,243.00,248.00,0.00,576.00,142630.00,0
2017-10-11,248.00,257.00,252.00,257.00,0.00,1130.00,288276.00,0
2017-10-12,257.00,260.00,255.00,260.00,0.00,219.00,56160.00,0
2017-10-15,260.00,262.00,257.00,262.00,0.00,124.00,32292.00,0
2017-10-16,262.00,267.00,262.00,266.00,0.00,568.00,150304.00,0
2017-10-17,266.00,266.00,256.00,259.00,0.00,377.00,98524.00,0
2017-10-18,259.00,260.00,254.00,260.00,0.00,723.00,184524.00,0
2017-10-22,260.00,262.00,258.00,258.00,0.00,214.00,55976.00,0
2017-10-23,258.00,258.00,257.00,258.00,0.00,123.00,31688.00,0
2017-10-24,258.00,257.00,255.00,256.00,0.00,829.00,212166.00,0
2017-10-25,256.00,258.00,253.00,256.00,0.00,601.00,154326.00,0
2017-10-29,256.00,256.00,254.00,254.00,0.00,835.00,213335.00,0
2017-10-30,254.00,254.00,250.00,251.00,0.00,2486.00,627416.00,0
2017-10-31,251.00,251.00,242.00,248.00,0.00,1529.00,374540.00,0
2017-11-01,248.00,252.00,243.00,243.00,0.00,234.00,57586.00,0
2017-11-02,243.00,252.00,239.00,247.00,0.00,1835.00,449822.00,0
2017-11-05,247.00,255.00,244.00,250.00,0.00,1355.00,338023.00,0
2017-11-06,250.00,250.00,240.00,240.00,0.00,2843.00,687600.00,0
2017-11-07,240.00,245.00,240.00,245.00,0.00,431.00,104260.00,0
2017-11-08,245.00,246.00,241.00,244.00,0.00,1634.00,399703.00,0
2017-11-09,244.00,248.00,240.00,244.00,0.00,777.00,188308.00,0
2017-11-12,244.00,245.00,240.00,243.00,0.00,1278.00,309693.00,0
2017-11-13,243.00,250.00,240.00,250.00,0.00,2213.00,533044.00,0
2017-11-14,250.00,260.00,249.00,260.00,0.00,2432.00,620278.00,0
2017-11-15,260.00,260.00,250.00,258.00,0.00,3601.00,928759.00,0
2017-11-16,258.00,253.00,246.00,251.00,0.00,948.00,236384.00,0
2017-11-19,251.00,253.00,244.00,244.00,0.00,1265.00,314090.00,0
2017-11-20,244.00,247.00,241.00,244.00,0.00,1161.00,282175.00,0
2017-11-21,244.00,248.00,240.00,247.00,0.00,1843.00,450024.00,0
2017-11-22,247.00,250.00,243.00,247.00,0.00,301.00,74242.00,0
2017-11-23,247.00,250.00,247.00,247.00,0.00,1205.00,301068.00,0
2017-11-26,247.00,258.00,245.00,254.00,0.00,2657.00,672010.00,0
2017-11-27,254.00,259.00,251.00,256.00,0.00,1240.00,315189.00,0
2017-11-28,256.00,255.00,250.00,252.00,0.00,1300.00,329346.00,0
2017-11-29,252.00,263.00,250.00,262.00,0.00,4206.00,1089004.00,0
2017-11-30,262.00,272.00,248.00,272.00,0.00,5769.00,1506851.00,0
2017-12-04,272.00,275.00,262.00,275.00,0.00,3435.00,924081.00,0
2017-12-05,275.00,275.00,267.00,271.00,0.00,3653.00,991034.00,0
2017-12-06,271.00,285.00,268.00,281.00,0.00,7238.00,2011706.00,0
2017-12-10,281.00,286.00,266.00,276.00,0.00,1189.00,327638.00,0
2017-12-11,276.00,275.00,267.00,269.00,0.00,1493.00,402787.00,0
2017-12-12,269.00,274.00,262.00,274.00,0.00,2250.00,602592.00,0
2017-12-13,274.00,272.00,263.00,272.00,0.00,694.00,185896.00,0
2017-12-14,272.00,272.00,264.00,270.00,0.00,658.00,177348.00,0
2017-12-17,270.00,267.00,264.00,264.00,0.00,3386.00,897274.00,0
2017-12-18,264.00,270.00,262.00,265.00,0.00,1885.00,502284.00,0
2017-12-19,265.00,265.00,262.00,262.00,0.00,3043.00,801722.00,0
2017-12-20,262.00,265.00,262.00,264.00,0.00,1178.00,310320.00,0
2017-12-21,264.00,261.00,256.00,257.00,0.00,2272.00,587618.00,0
2017-12-24,257.00,262.00,252.00,255.00,0.00,907.00,232102.00,0
2017-12-26,255.00,256.00,245.00,250.00,0.00,631.00,157304.00,0
2017-12-27,250.00,250.00,242.00,250.00,0.00,1052.00,260606.00,0
2017-12-28,250.00,249.00,243.00,249.00,0.00,3271.00,806421.00,0
2017-12-31,249.00,250.00,242.00,248.00,0.00,2438.00,595828.00,0
2018-01-01,248.00,253.00,249.00,252.00,0.00,694.00,174819.00,0
2018-01-02,252.00,253.00,247.00,250.00,0.00,268.00,66846.00,0
2018-01-03,250.00,250.00,245.00,245.00,0.00,1398.00,344034.00,0
2018-01-04,245.00,247.00,242.00,246.00,0.00,570.00,139992.00,0
2018-01-07,246.00,246.00,242.00,242.00,0.00,1950.00,472482.00,0
2018-01-08,242.00,243.00,240.00,241.00,0.00,1468.00,353692.00,0
2018-01-09,241.00,247.00,242.00,242.00,0.00,68.00,16564.00,0
2018-01-10,242.00,245.00,234.00,242.00,0.00,4576.00,1092145.00,0
2018-01-14,242.00,240.00,237.00,238.00,0.00,362.00,86239.00,0
2018-01-16,238.00,240.00,230.00,240.00,0.00,1264.00,300307.00,0
2018-01-17,240.00,237.00,233.00,237.00,0.00,393.00,92097.00,0
2018-01-21,237.00,239.00,230.00,230.00,0.00,2132.00,496400.00,0
2018-01-22,230.00,238.00,231.00,234.00,0.00,425.00,99756.00,0
2018-01-23,234.00,238.00,230.00,237.00,0.00,2253.00,527182.00,0
2018-01-24,237.00,239.00,232.00,234.00,0.00,492.00,115750.00,0
2018-01-25,234.00,234.00,231.00,234.00,0.00,164.00,38202.00,0
2018-01-28,234.00,236.00,229.00,229.00,0.00,2339.00,540999.00,0
2018-01-29,229.00,233.00,228.00,229.00,0.00,1570.00,361594.00,0
2018-01-31,229.00,229.00,225.00,225.00,0.00,582.00,131919.00,0
2018-02-01,225.00,233.00,222.00,229.00,0.00,881.00,202904.00,0
2018-02-04,229.00,236.00,226.00,236.00,0.00,3875.00,878934.00,0
2018-02-05,236.00,238.00,226.00,238.00,0.00,801.00,183475.00,0
2018-02-06,238.00,236.00,230.00,232.00,0.00,174.00,40496.00,0
2018-02-07,232.00,235.00,228.00,235.00,0.00,429.00,100118.00,0
2018-02-08,235.00,234.00,230.00,234.00,0.00,405.00,94670.00,0
2018-02-11,234.00,237.00,226.00,230.00,0.00,937.00,215815.00,0
2018-02-12,230.00,230.00,224.00,228.00,0.00,202.00,45656.00,0
2018-02-14,228.00,230.00,221.00,230.00,0.00,1579.00,358831.00,0
2018-02-15,230.00,234.00,227.00,234.00,0.00,1344.00,310971.00,0
2018-02-18,230.00,230.00,225.00,226.00,-3.42,822.00,187098.00,-1
